# Region type :       patch INLET
# Faces               : 25600
# Area                : 3.57823331707631e-02
# Scale factor        : 1.00000000000000e+00
# Time                	sum(phi)
0.1204                	-5.63053878036053e-02
0.1206                	-5.63366076818377e-02
0.1208                	-5.63649499718072e-02
0.121                 	-5.63956696877469e-02
0.1212                	-5.64297615099250e-02
0.1214                	-5.64566005514774e-02
0.1216                	-5.64844355661409e-02
0.1218                	-5.65160002698929e-02
0.122                 	-5.65517791793883e-02
0.1222                	-5.65907542232376e-02
0.1224                	-5.66380168339726e-02
0.1226                	-5.66826413067079e-02
0.1228                	-5.67061108778269e-02
0.123                 	-5.67138389535365e-02
0.1232                	-5.67237290501717e-02
0.1234                	-5.67509021347076e-02
0.1236                	-5.67878131024492e-02
0.1238                	-5.68161419497035e-02
0.124                 	-5.68255712028497e-02
0.1242                	-5.68142918905108e-02
0.1244                	-5.68079707498756e-02
0.1246                	-5.68222332836141e-02
0.1248                	-5.68412885138844e-02
0.125                 	-5.68452037642981e-02
0.1252                	-5.68425507070120e-02
0.1254                	-5.68293611350278e-02
0.1256                	-5.68154022376235e-02
0.1258                	-5.68055332610269e-02
0.126                 	-5.68068596388028e-02
0.1262                	-5.68165672382170e-02
0.1264                	-5.68170217274740e-02
0.1266                	-5.68047123146054e-02
0.1268                	-5.67902552371179e-02
0.127                 	-5.67693621071911e-02
0.1272                	-5.67595648810821e-02
0.1274                	-5.67614577355450e-02
0.1276                	-5.67585451490853e-02
0.1278                	-5.67487435569321e-02
0.128                 	-5.67254957662557e-02
0.1282                	-5.66951386581399e-02
0.1284                	-5.66711994324595e-02
0.1286                	-5.66739812411786e-02
0.1288                	-5.66757280854106e-02
0.129                 	-5.66662174064515e-02
0.1292                	-5.66346020706615e-02
0.1294                	-5.66121622450821e-02
0.1296                	-5.66143043469407e-02
0.1298                	-5.66324433473803e-02
0.13                  	-5.66454965656615e-02
0.1302                	-5.66511448175814e-02
0.1304                	-5.66598853083332e-02
0.1306                	-5.66794551301363e-02
0.1308                	-5.67081524045102e-02
0.131                 	-5.67288404326519e-02
0.1312                	-5.67290630170406e-02
0.1314                	-5.67088149674152e-02
0.1316                	-5.67044474737283e-02
0.1318                	-5.67215271178198e-02
0.132                 	-5.67423484226520e-02
0.1322                	-5.67260958597798e-02
0.1324                	-5.66898364228755e-02
0.1326                	-5.66657400409071e-02
0.1328                	-5.66820442342947e-02
0.133                 	-5.67109004009610e-02
0.1332                	-5.67085978793885e-02
0.1334                	-5.66672681116904e-02
0.1336                	-5.66248710090765e-02
0.1338                	-5.66172998275923e-02
0.134                 	-5.66358640303314e-02
0.1342                	-5.66519694196677e-02
0.1344                	-5.66346655992645e-02
0.1346                	-5.66086363447392e-02
0.1348                	-5.65975786847095e-02
0.135                 	-5.66085997842952e-02
0.1352                	-5.66207938231859e-02
0.1354                	-5.66240082614658e-02
0.1356                	-5.66085611642820e-02
0.1358                	-5.65971324963073e-02
0.136                 	-5.66073376684428e-02
0.1362                	-5.66054388624939e-02
0.1364                	-5.65804583250651e-02
0.1366                	-5.65526302586889e-02
0.1368                	-5.65316214653207e-02
0.137                 	-5.65212775006503e-02
0.1372                	-5.65098945026269e-02
0.1374                	-5.64824575486908e-02
0.1376                	-5.64550667578650e-02
0.1378                	-5.64351632239760e-02
0.138                 	-5.64341181588495e-02
0.1382                	-5.64350159003189e-02
0.1384                	-5.64191452487605e-02
0.1386                	-5.63885363657406e-02
0.1388                	-5.63523202471551e-02
0.139                 	-5.63303509849489e-02
0.1392                	-5.63263278116764e-02
0.1394                	-5.63385005373205e-02
0.1396                	-5.63343195906116e-02
0.1398                	-5.63077258878584e-02
0.14                  	-5.62895306238615e-02
0.1402                	-5.62924123836830e-02
0.1404                	-5.63096471967281e-02
0.1406                	-5.63091820248358e-02
0.1408                	-5.62890427966016e-02
0.141                 	-5.62604170737646e-02
0.1412                	-5.62481538178533e-02
0.1414                	-5.62487375483772e-02
0.1416                	-5.62392837888381e-02
0.1418                	-5.62198664320985e-02
0.142                 	-5.62062809922228e-02
0.1422                	-5.62133903736946e-02
0.1424                	-5.62206451172215e-02
0.1426                	-5.62132315595758e-02
0.1428                	-5.62162207255336e-02
0.143                 	-5.62253984501475e-02
0.1432                	-5.62492741618199e-02
0.1434                	-5.62669544195865e-02
0.1436                	-5.62867769881400e-02
0.1438                	-5.62923756776630e-02
0.144                 	-5.63061450206196e-02
0.1442                	-5.63165227668192e-02
0.1444                	-5.63243445587142e-02
0.1446                	-5.63361656571083e-02
0.1448                	-5.63437464594958e-02
0.145                 	-5.63482820595091e-02
0.1452                	-5.63433388619391e-02
0.1454                	-5.63499875364526e-02
0.1456                	-5.63714591482491e-02
0.1458                	-5.63951131773270e-02
0.146                 	-5.64256159777095e-02
0.1462                	-5.64492265206399e-02
0.1464                	-5.64725890234206e-02
0.1466                	-5.64920259210438e-02
0.1468                	-5.65155785016438e-02
0.147                 	-5.65327823103872e-02
0.1472                	-5.65467916931486e-02
0.1474                	-5.65624341159803e-02
0.1476                	-5.65773609162230e-02
0.1478                	-5.65930515451099e-02
0.148                 	-5.65969682214421e-02
0.1482                	-5.66108045225535e-02
0.1484                	-5.66250548611075e-02
0.1486                	-5.66378693620082e-02
0.1488                	-5.66537554154849e-02
0.149                 	-5.66578006571353e-02
0.1492                	-5.66542974967147e-02
0.1494                	-5.66517678435862e-02
0.1496                	-5.66586680107895e-02
0.1498                	-5.66858361045365e-02
0.15                  	-5.66939069195752e-02
0.1502                	-5.66868773534929e-02
0.1504                	-5.66870174850268e-02
0.1506                	-5.67024919518742e-02
0.1508                	-5.67261745739399e-02
0.151                 	-5.67365194764099e-02
0.1512                	-5.67089449788195e-02
0.1514                	-5.66714800671647e-02
0.1516                	-5.66744442039361e-02
